inp
data-07|priyanka|had to.
"data-03|priyanka|As I have seen and lived more life, I've realised having a work-life balance is really important. So when you talk about a beach, I was in Turks and Caicos just"
"data-06|priyanka|girls that take charge of their own lives and they say, you know, I'm not going to fit into the cookie cutter mold that probably my mother did or my grandmother had."
"data-05|priyanka|feeling rejuvenated, feeling excited and really motivated to take my career forward. I mean this generation of girls is fearless and there's so many"
"data-02|priyanka|one time, you know, five shifts, don't sleep, don't eat and the more a person does that, the more successful you will be. But as"
"data-01|priyanka|when I was younger. It was really romanticized that you're going for it and just keep going and you know it's like you have to work 24 hours, do four movies in"
data-04|priyanka|recently my phones were off me and my husband just by ourselves we spent time we walked on the beach we collected shells and then I came back
"data-08|priyanka|choices that they've made. Thank you so much, Ranveer. Thank you for having me back. Please do have been waiting for this anticipation has you that means so much to"
"data-11|priyanka|be helpful rather than a thorn on your side. So I'm glad. Yeah, actually, happier than I've been in a really long time. I think I reached a place where"
"data-09|priyanka|I also started at something different and it's just so nice when someone understands what your goal is and instead of standing in your way,"
"data-21|priyanka|has to be rough and it's not. Work can be your companion, work can be creative, work can be something that gives you joy and now I've reached a point"
data-13|priyanka|35 I guess and maybe it is just having my feet on the ground and a little bit more stable ground.
"data-14|priyanka|I think I'm not running as fast as I was. I'm thinking about the steps I take. I'm in a really comfortable, content place when it comes to my life."
data-20|priyanka|feeling excited and really motivated to take my career forward. So this romanticization of work has to be tough and work has to be...
data-10|priyanka|helps you pushes you just a little bit and I kind of maybe sense that feeling from you and I always like to stand and
data-16|priyanka|bit more happy and calm. You understand it a little bit. It was really romanticized that you're going for it and just keep going and you know it's like you have to work 24
"data-19|priyanka|My phones were off, me and my husband just by ourselves. We spent time, we walked on the beach, we collected shells, and then I came back feeling rejuvenated."
"data-18|priyanka|be. But as I have seen and lived more life, I've realized having a work-life balance is really important. So when you talk about a beach, I was in Turks and Caicos just recently."
data-15|priyanka|the choices that I'm making are mine and are not defined by other people or the validation that I probably needed when I was younger. So I think that's made me a little
"data-12|priyanka|where I stopped struggling with the things that it when I was younger. Maybe it's maturity, maybe it's being on the other side of the"
"data-17|priyanka|hours, do four movies in one time, you know, five shifts, don't sleep, don't eat. And the more a person does that, the more successful you will be."
"data-33|priyanka|I won my first badge in which was Miss India. I was like, wow, I've won the world. I'm really successful. Then I won Miss World. I was like, yeah, guess what?"
data-29|priyanka|Oh my gosh. I don't even know what I was. What was? Holy wow. That's one year into me being an actor. Bombay when I was 11 years old with my brother.
data-36|priyanka|How do you sign a movie? My poor father was a physician. He didn't know even more and he was like highly protective. They gave up their practice and for two working daughters.
"data-34|priyanka|I had no computation of 18, 17, had no understanding how it happened. But what I did understand was that"
data-28|priyanka|legacy for my children and for the future generation that may not have even seen the potential of something like that for themselves. Why would I give it up?
"data-23|priyanka|I'm acting, whatever. But when I switch off, I'm with my family. I'm at home. I watch movies. I do whatever I want to do. So then when I come back to work,"
"data-35|priyanka|was the opportunity it gave. Suddenly people knew me, wanted to know me, gave me new opportunities. There were movies that were coming my way. I didn't know anything about how"
"data-25|priyanka|I want to have a shack and go out. It used to be my dream when I worked like that too. I want to have a shack and go out, not wear shoes, chappal pahankke, have fish fry all day. You know, and that's what I'm trying to do."
"data-32|priyanka|to do the best you can. Survive, keep your head above water and slowly you'll see you'll be walking on it. Ummm... it's a really tough question because when I"
data-26|priyanka|I wanted to do. But as I realized that there's something I love my job and I love being able to create in very different ways. I have the
"data-31|priyanka|the queen's necklace. All of that was all I knew about Mumbai. Industry was terrifying to me and I think, or just give yourself a break. It's okay. You just have"
data-30|priyanka|was like wow Bombay you know that park where they have the shoe and I had photographs in the hanging gardens even now and that was like going to the beach was seeing
"data-24|priyanka|the next day, I have the focus to be able to do even more things. So when you're talking about retiring at like 35, 40, sure, if you want to have"
data-27|priyanka|privilege to be in a position that not many have been in and I've created that by myself. I don't want to give it up and I don't want anyone to take it away from me. It's my
"data-22|priyanka|with that work-life balance for me is most important. I will work on the six verticals that I'm working on, you know, my business, my production, my book."
"data-41|priyanka|wake up every day with wanting to give back, whether that's with the person that is standing right next to me or whether that is a life choice that I might make."
data-37|priyanka|doctors who were very successful in Bireli and this is something I didn't even think about till I was like 30 years old gave up everything to pursue my 19 year old dream.
data-38|priyanka|my 19 year old opportunities that even and I always think about it like if you think why do I have why am I lucky enough to have the life that I
"data-46|priyanka|women changed the trajectory of the next generation of women. My co-actors, female co-actors, that fought to be the face on the podium."
"data-42|priyanka|But giving back, I think, is so crucial when it comes to being grateful. I'm highly grateful for everything that I have. And I do think that maybe I did something"
"data-44|priyanka|having agency in my own life, if you think about women around the world, so many don't have that. The complete choices are made for themselves. But my parents..."
data-49|priyanka|right? And that's a huge responsibility on all of us. You're on the spot. Films are films. We still talk about female lead films as female lead films. We don't say that's a male lead.
"data-39|priyanka|do and some other woman somewhere else with the same opportunity, with the same desires, same ambitions, same, you know, needs."
"data-43|priyanka|right, that I've been blessed with the opportunity of having the life, being born to the parents that I was, being able to have the opportunity of making my own choices."
data-40|priyanka|doesn't have any of it. I really think about that a lot. It makes me feel like there must be something I did right. I wake up every day with a sense of gratitude and I wake up
data-45|priyanka|told me you have to have your opinion. What a privilege. An actor who was talking to me and I really did say that my generation of
"data-47|priyanka|poster that fought for agency in the movies that a lot of women didn't get before us, just opened the doors for the generation after us. And I think not"
"data-48|priyanka|for women but people, our generation and every generation will always have a prototype that will be better than us. We have changed the landscape."
"data-50|priyanka|This person's film, Amir Khan's movie, oh, we're watching a male lead film today. But that's as a vocabulary we need to change. Female athlete, female politician."
data-55|priyanka|that people that tell us that you know I was talking the other day about someone that when I went to Convince school I had this thing called moral science a subject called moral science
data-64|priyanka|feel about this person. It's about that feeling. It's about imbibing from the people around you and it could be someone you admire.
"data-63|priyanka|work with. The reason I take new steps is because I see someone else doing something new and I'm like, I do, that'll make me feel how I feel."
"data-57|priyanka|There's so much that has been told to women that to be a good girl, you have to be a certain way. Good girls don't make history, you know what I mean?"
"data-53|priyanka|or my grandmother had to. And it's so like I have goosebumps right now just thinking about it. I mean, so many young women who have changed the trajectory of their family."
"data-51|priyanka|female actress, why? Actress, politician, act can be very scary. You know, we, I mean, this generation of girls is fearless."
"data-58|priyanka|bold girls make history, bold people make history. So if you want to be the lead actor of your movie, which is your life,"
"data-52|priyanka|and there's so many girls that take charge of their own lives and they say, you know, I'm not going to fit into the cookie cutter mold that probably my mother did."
"data-56|priyanka|which taught me how women shouldn't be seen, not heard, the lengths of our skirts, how we should sit with our legs."
data-59|priyanka|You've got to take choices that might be contrary to what you've heard. And that empowerment may or may not come from your parents. May on may not come from
"data-65|priyanka|on television, it could be someone in your class, it could be someone that you work with. But when you see something that you admire about someone,"
